biome,n_imgs,n_motifs_in_biome_specific,n_motifs_other_specific,delta,p_one_sided
Montane Grasslands & Shrublands,1438,5,516,0.005141660221852362,0.0
Boreal Forests/Taiga,2702,73,448,0.002337481200811453,0.0
Tundra,2001,41,480,0.0020452471799217165,0.008
Deserts & Xeric Shrublands,3711,20,501,0.0014140467974357307,0.005
Tropical & Subtropical Moist Broadleaf Forests,14379,188,333,0.0012601634225575253,0.0
"Tropical & Subtropical Grasslands, Savannas & Shrublands",5633,82,439,0.0011319697368890047,0.001
Temperate Conifer Forests,3418,51,470,0.0009343363344669342,0.031
"Mediterranean Forests, Woodlands & Scrub",1902,20,501,0.0008365073299501091,0.071
Temperate Broadleaf & Mixed Forests,5309,143,378,0.0006114059069659561,0.008
"Temperate Grasslands, Savannas & Shrublands",3049,42,479,0.00016125146066769958,0.326
Tropical & Subtropical Coniferous Forests,1109,5,516,-0.0006451201625168324,0.783
