biome,n_imgs,n_motifs_in_biome_specific,n_motifs_other_specific,delta,p_one_sided,class_group,n_motifs_in_subset,image_source
"Mediterranean Forests, Woodlands & Scrub",1863,15,379,0.0029903584509156644,0.0,ALL,470,iNat_basic
"Tropical & Subtropical Grasslands, Savannas & Shrublands",5429,63,331,0.0027725750114768744,0.0,ALL,470,iNat_basic
Temperate Broadleaf & Mixed Forests,5166,100,294,0.001962507318239659,0.0,ALL,470,iNat_basic
Boreal Forests/Taiga,2587,41,353,0.0019154115580022335,0.019,ALL,470,iNat_basic
Montane Grasslands & Shrublands,1402,5,389,0.001895442430395633,0.119,ALL,470,iNat_basic
Tropical & Subtropical Coniferous Forests,1085,5,389,0.0015045724139781669,0.122,ALL,470,iNat_basic
Tropical & Subtropical Moist Broadleaf Forests,13907,155,239,0.0013789659133180976,0.0,ALL,470,iNat_basic
Deserts & Xeric Shrublands,3611,15,379,0.0005982945440337062,0.23,ALL,470,iNat_basic
"Temperate Grasslands, Savannas & Shrublands",2954,32,362,0.0005371571751311421,0.149,ALL,470,iNat_basic
Tundra,1965,22,372,-0.00034594442695379257,0.574,ALL,470,iNat_basic
Temperate Conifer Forests,3334,39,355,-0.0010474487207829952,0.887,ALL,470,iNat_basic
Boreal Forests/Taiga,2587,5,39,0.002907875692471862,0.166,PAREIDOLIC,49,iNat_basic
Temperate Broadleaf & Mixed Forests,5166,18,26,0.0015790140023455024,0.077,PAREIDOLIC,49,iNat_basic
Tropical & Subtropical Moist Broadleaf Forests,13907,14,30,0.001513159368187189,0.124,PAREIDOLIC,49,iNat_basic
Boreal Forests/Taiga,2587,11,105,0.0038479847135022283,0.014,PURE_NARRATIVE,147,iNat_basic
"Tropical & Subtropical Grasslands, Savannas & Shrublands",5429,15,101,0.002465585945174098,0.022,PURE_NARRATIVE,147,iNat_basic
Deserts & Xeric Shrublands,3611,6,110,0.002294075326062739,0.031,PURE_NARRATIVE,147,iNat_basic
"Mediterranean Forests, Woodlands & Scrub",1863,7,109,0.0016810889064799994,0.095,PURE_NARRATIVE,147,iNat_basic
Temperate Broadleaf & Mixed Forests,5166,47,69,0.001474591641454026,0.011,PURE_NARRATIVE,147,iNat_basic
Tropical & Subtropical Moist Broadleaf Forests,13907,36,80,0.0009243327076546848,0.067,PURE_NARRATIVE,147,iNat_basic
"Temperate Grasslands, Savannas & Shrublands",2954,16,100,4.252826329320669e-05,0.496,PURE_NARRATIVE,147,iNat_basic
