biome,n_imgs,sum_weight_in,delta,p_one_sided
Temperate Broadleaf & Mixed Forests,308,1295.16748046875,0.0017318669706583023,0.0
Tropical & Subtropical Moist Broadleaf Forests,2314,728.65234375,0.0016229543834924698,0.0
Deserts & Xeric Shrublands,637,860.4007568359375,0.0015939134173095226,0.0
Tundra,114,621.7731323242188,0.0013717953115701675,0.0
N/A,37,150.54766845703125,0.001275145448744297,0.093
Boreal Forests/Taiga,279,904.91064453125,0.0012443760642781854,0.0
"Mediterranean Forests, Woodlands & Scrub",292,786.7235107421875,0.0010182792320847511,0.0
"Tropical & Subtropical Grasslands, Savannas & Shrublands",267,532.9143676757812,0.0009349172469228506,0.0
Tropical & Subtropical Dry Broadleaf Forests,223,476.327880859375,0.0007211242336779833,0.0
Tropical & Subtropical Coniferous Forests,64,346.73583984375,0.0006674902979284525,0.025
Montane Grasslands & Shrublands,413,577.0745849609375,0.0004087498818989843,0.101
Temperate Conifer Forests,211,836.0830078125,0.00020468095317482948,0.137
"Temperate Grasslands, Savannas & Shrublands",403,944.5513305664062,-0.00023962347768247128,0.834
Mangroves,88,192.7472686767578,-0.0005032731569372118,0.875
Flooded Grasslands & Savannas,484,423.02117919921875,-0.0008612879901193082,0.902
