biome,n_imgs,sum_weight_in,delta,p_one_sided
Tropical & Subtropical Moist Broadleaf Forests,14379,728.65234375,0.0009055823320522904,0.0
Temperate Broadleaf & Mixed Forests,5309,1295.16748046875,0.0004935536999255419,0.0
Deserts & Xeric Shrublands,3711,860.4007568359375,0.00043851311784237623,0.0
Boreal Forests/Taiga,2702,904.91064453125,0.0003819435369223356,0.005
Montane Grasslands & Shrublands,1438,577.0745849609375,0.0003783042193390429,0.001
Tundra,2001,621.7731323242188,0.00035091815516352654,0.079
"Mediterranean Forests, Woodlands & Scrub",1902,786.7235107421875,0.0003290299791842699,0.002
"Tropical & Subtropical Grasslands, Savannas & Shrublands",5633,532.9143676757812,0.00032409955747425556,0.015
"Temperate Grasslands, Savannas & Shrublands",3049,944.5513305664062,0.0003078095614910126,0.0
Tropical & Subtropical Dry Broadleaf Forests,2304,476.327880859375,0.00028211367316544056,0.003
Mangroves,250,192.7472686767578,0.0001843445934355259,0.292
Tropical & Subtropical Coniferous Forests,1109,346.73583984375,0.00015815708320587873,0.11
Temperate Conifer Forests,3418,836.0830078125,-0.0001245581079274416,0.793
N/A,21,150.54766845703125,-0.00021124296472407877,0.663
Flooded Grasslands & Savannas,550,423.02117919921875,-0.00027829734608531,0.845
