bucket,biome,n_imgs,n_motifs_in_bucket,n_in_b,n_out_b,delta,p_one_sided
1,Temperate Broadleaf & Mixed Forests,5309,65,15,50,0.0016714847879484296,0.058
1,Temperate Conifer Forests,3418,65,8,57,-0.0002441571559756994,0.54
1,"Tropical & Subtropical Grasslands, Savannas & Shrublands",5633,65,7,58,-0.0007168443407863379,0.633
1,Tropical & Subtropical Moist Broadleaf Forests,14379,65,25,40,0.0028910558175994083,0.0
2,Boreal Forests/Taiga,2702,239,49,190,0.0033967316849157214,0.001
2,Deserts & Xeric Shrublands,3711,239,24,215,0.0024871971691027284,0.002
2,Flooded Grasslands & Savannas,550,239,5,234,-0.0030223128851503134,0.855
2,"Mediterranean Forests, Woodlands & Scrub",1902,239,18,221,0.0012452444934751838,0.1
2,Montane Grasslands & Shrublands,1438,239,10,229,0.003341094241477549,0.009
2,Temperate Broadleaf & Mixed Forests,5309,239,77,162,0.002195788489188999,0.0
2,Temperate Conifer Forests,3418,239,36,203,-0.0005572973750531673,0.736
2,"Temperate Grasslands, Savannas & Shrublands",3049,239,37,202,0.0014971292403060943,0.015
2,Tropical & Subtropical Coniferous Forests,1109,239,8,231,0.001467732567107305,0.095
2,Tropical & Subtropical Dry Broadleaf Forests,2304,239,16,223,0.0011296336306259036,0.088
2,"Tropical & Subtropical Grasslands, Savannas & Shrublands",5633,239,67,172,0.0013668660540133715,0.012
2,Tropical & Subtropical Moist Broadleaf Forests,14379,239,102,137,0.00287230615504086,0.0
2,Tundra,2001,239,28,211,0.000891657080501318,0.261
3,Boreal Forests/Taiga,2702,335,110,225,0.0001561436802148819,0.414
3,Deserts & Xeric Shrublands,3711,335,71,264,0.0011921776458621025,0.004
3,Flooded Grasslands & Savannas,550,335,22,313,0.0009826174937188625,0.247
3,Mangroves,250,335,10,325,0.0008981155697256327,0.311
3,"Mediterranean Forests, Woodlands & Scrub",1902,335,42,293,0.0010263310687150806,0.038
3,Montane Grasslands & Shrublands,1438,335,24,311,0.001571964065078646,0.027
3,Temperate Broadleaf & Mixed Forests,5309,335,165,170,0.0010126814886461943,0.001
3,Temperate Conifer Forests,3418,335,94,241,6.211968138813972e-05,0.459
3,"Temperate Grasslands, Savannas & Shrublands",3049,335,105,230,-0.00019314407836645842,0.7
3,Tropical & Subtropical Coniferous Forests,1109,335,21,314,0.0008444161067018285,0.103
3,Tropical & Subtropical Dry Broadleaf Forests,2304,335,41,294,0.0010675573721528053,0.02
3,"Tropical & Subtropical Grasslands, Savannas & Shrublands",5633,335,96,239,0.0007799945306032896,0.064
3,Tropical & Subtropical Moist Broadleaf Forests,14379,335,144,191,0.001251890294952318,0.001
3,Tundra,2001,335,60,275,0.0013132358435541391,0.114
4-6,Boreal Forests/Taiga,2702,839,397,442,0.0007340570446103811,0.019
4-6,Deserts & Xeric Shrublands,3711,839,465,374,0.0005622399039566517,0.003
4-6,Flooded Grasslands & Savannas,550,839,86,753,-0.00028602639213204384,0.649
4-6,Mangroves,250,839,36,803,-0.0008435402996838093,0.807
4-6,"Mediterranean Forests, Woodlands & Scrub",1902,839,279,560,0.0006654896133113652,0.003
4-6,Montane Grasslands & Shrublands,1438,839,194,645,0.0006026136561558815,0.014
4-6,N/A,21,839,16,823,-1.3295764802023768e-05,0.484
4-6,Temperate Broadleaf & Mixed Forests,5309,839,600,239,0.0005151146906428039,0.018
4-6,Temperate Conifer Forests,3418,839,407,432,0.0002590431831777096,0.208
4-6,"Temperate Grasslands, Savannas & Shrublands",3049,839,454,385,0.0008592216254328378,0.0
4-6,Tropical & Subtropical Coniferous Forests,1109,839,93,746,0.0002286993694724515,0.229
4-6,Tropical & Subtropical Dry Broadleaf Forests,2304,839,185,654,0.0008037517545744777,0.0
4-6,"Tropical & Subtropical Grasslands, Savannas & Shrublands",5633,839,233,606,0.0002328807022422552,0.23
4-6,Tropical & Subtropical Moist Broadleaf Forests,14379,839,446,393,0.0013437176894512959,0.0
4-6,Tundra,2001,839,231,608,0.0009250794537365437,0.037
7+,Boreal Forests/Taiga,2702,1086,888,198,1.2603122740983963e-05,0.489
7+,Deserts & Xeric Shrublands,3711,1086,988,98,0.0007632122142240405,0.004
7+,Flooded Grasslands & Savannas,550,1086,489,597,-0.00025205081328749657,0.77
7+,Mangroves,250,1086,195,891,0.0008177265990525484,0.014
7+,"Mediterranean Forests, Woodlands & Scrub",1902,1086,807,279,0.0002763124357443303,0.081
7+,Montane Grasslands & Shrublands,1438,1086,718,368,0.00011123984586447477,0.258
7+,N/A,21,1086,157,929,-0.0005067698657512665,0.851
7+,Temperate Broadleaf & Mixed Forests,5309,1086,1046,40,-0.0005755597376264632,0.891
7+,Temperate Conifer Forests,3418,1086,911,175,7.618870586156845e-05,0.409
7+,"Temperate Grasslands, Savannas & Shrublands",3049,1086,950,136,9.433709783479571e-05,0.324
7+,Tropical & Subtropical Coniferous Forests,1109,1086,439,647,3.199328784830868e-05,0.423
7+,Tropical & Subtropical Dry Broadleaf Forests,2304,1086,682,404,0.0005327379330992699,0.001
7+,"Tropical & Subtropical Grasslands, Savannas & Shrublands",5633,1086,745,341,0.00045832572504878044,0.027
7+,Tropical & Subtropical Moist Broadleaf Forests,14379,1086,968,118,0.0009929656007443555,0.0
7+,Tundra,2001,1086,695,391,1.3652723282575607e-05,0.509
