biome,n_imgs,n_motifs_in_biome,delta_marginal,p_marginal,delta_strat_uniform,delta_strat_weighted,p_strat_uniform,n_strata_used
"Tropical & Subtropical Grasslands, Savannas & Shrublands",5333,767,0.0008340931963175535,0.0,0.0011718827817175123,0.0008353633092516867,0.0,9
Tropical & Subtropical Moist Broadleaf Forests,12376,1183,0.0008015905041247606,0.0,0.0013113394697112117,0.0008012473364185236,0.0,11
"Mediterranean Forests, Woodlands & Scrub",1789,743,0.0005101317074149847,0.0,-0.00015740817179903387,0.000514521323704012,0.711,10
Temperate Broadleaf & Mixed Forests,5030,1362,0.0005091846687719226,0.002,0.00013541042571887373,0.0005161633473713059,0.306,10
Deserts & Xeric Shrublands,3510,1067,0.0004881584318354726,0.001,0.0006657580857531034,0.0004962378935768338,0.004,7
Montane Grasslands & Shrublands,1402,597,0.00047782587353140116,0.003,0.0013981666415929794,0.0004800627585426135,0.0,5
Tropical & Subtropical Dry Broadleaf Forests,2048,567,0.00025083846412599087,0.028,0.0006687480607070028,0.0002512624574592337,0.022,10
Mangroves,216,112,0.00022198096849024296,0.342,0.00037213660834822804,0.000261201526668361,0.174,4
"Temperate Grasslands, Savannas & Shrublands",2940,1073,2.0449282601475716e-05,0.432,0.00027627358940662816,2.8600714295288378e-05,0.102,8
Tundra,1623,641,-1.776730641722679e-05,0.533,0.00025134291499853136,-4.660819560401281e-06,0.162,5
Boreal Forests/Taiga,2423,989,-9.15704295039177e-05,0.658,0.0004457360676800211,-8.257314511297648e-05,0.027,6
Tropical & Subtropical Coniferous Forests,1085,325,-0.0003040739393327385,0.965,0.0004469597382315745,-0.00034548327560703497,0.017,6
Temperate Conifer Forests,3144,1010,-0.0003779814578592777,0.95,-0.000368490454275161,-0.00037428806364536287,0.904,10
Flooded Grasslands & Savannas,538,326,-0.0004194467328488827,0.88,0.0001055058091878891,-0.00041370960153961695,0.401,5
