biome,n_imgs,n_motifs_in_biome,delta_marg,delta_strat,p_strat,half
Boreal Forests/Taiga,2423,642,-0.00034991931170225143,0.0006088137160986662,0.001,low_tell
Deserts & Xeric Shrublands,3510,517,0.00010080286301672459,0.0008725360385142267,0.0,low_tell
Flooded Grasslands & Savannas,538,9,-0.004433147143572569,-0.0017056114738807082,0.932,low_tell
Mangroves,216,30,-0.0011768611147999763,-0.0003902685712091625,0.831,low_tell
"Mediterranean Forests, Woodlands & Scrub",1789,396,0.00030810083262622356,4.8042704293038696e-05,0.423,low_tell
Montane Grasslands & Shrublands,1402,301,3.992754500359297e-05,0.0008411931921727955,0.0,low_tell
Temperate Broadleaf & Mixed Forests,5030,784,0.0004570482997223735,0.0007666815654374659,0.001,low_tell
Temperate Conifer Forests,3144,605,-0.0005191080272197723,-9.964383207261562e-05,0.668,low_tell
"Temperate Grasslands, Savannas & Shrublands",2940,619,-0.00011863000690937042,0.0006358963437378407,0.0,low_tell
Tropical & Subtropical Coniferous Forests,1085,151,-9.990772377932444e-05,-1.1618870303209405e-05,0.501,low_tell
Tropical & Subtropical Dry Broadleaf Forests,2048,201,0.0004311183001846075,0.0005897799273952842,0.035,low_tell
"Tropical & Subtropical Grasslands, Savannas & Shrublands",5333,204,-0.00045526446774601936,0.0002581122098490596,0.176,low_tell
Tropical & Subtropical Moist Broadleaf Forests,12376,471,0.000220227288082242,0.0004699552373494953,0.035,low_tell
Tundra,1623,405,-0.0001624138094484806,7.250325143104419e-05,0.31,low_tell
Boreal Forests/Taiga,2423,442,0.0006180019117891788,0.0007052498986013234,0.0,high_tell
Deserts & Xeric Shrublands,3510,655,0.0009923384059220552,0.0004124250262975693,0.054,high_tell
Flooded Grasslands & Savannas,538,389,0.0010165623389184475,0.0007567480788566172,0.0,high_tell
Mangroves,216,95,0.000768234021961689,0.0006882012239657342,0.009,high_tell
"Mediterranean Forests, Woodlands & Scrub",1789,430,0.0007669592741876841,-0.0001967764983419329,0.809,high_tell
Montane Grasslands & Shrublands,1402,382,0.0009757875232025981,0.0015740118687972426,0.0,high_tell
Temperate Broadleaf & Mixed Forests,5030,686,0.0008630241500213742,-0.000191368511877954,0.803,high_tell
Temperate Conifer Forests,3144,494,0.00041283341124653816,-0.00012614256411325186,0.696,high_tell
"Temperate Grasslands, Savannas & Shrublands",2940,550,0.0004821209004148841,4.8554400564171374e-05,0.389,high_tell
Tropical & Subtropical Coniferous Forests,1085,209,1.6588819562457502e-05,5.508500544237904e-05,0.359,high_tell
Tropical & Subtropical Dry Broadleaf Forests,2048,434,0.00018701516091823578,0.0004060443607158959,0.057,high_tell
"Tropical & Subtropical Grasslands, Savannas & Shrublands",5333,638,0.0018523309845477343,0.0011728608515113592,0.0,high_tell
Tropical & Subtropical Moist Broadleaf Forests,12376,811,0.0015415840316563845,0.0015190470730885863,0.0,high_tell
Tundra,1623,316,0.0004247678443789482,0.0007265091990120709,0.0,high_tell
