biome,n_imgs,n_motifs_in_biome,delta,p_one_sided,delta_strat,p_strat,breadth
Tropical & Subtropical Moist Broadleaf Forests,12376,244,0.0014656658750027418,0.0,0.0015143721830099821,0.0,SpecA
"Mediterranean Forests, Woodlands & Scrub",1789,54,0.0014168537454679608,0.0,-0.00030072894878685474,0.689,SpecA
Montane Grasslands & Shrublands,1402,31,0.0013407700462266803,0.002,0.000985839287750423,0.081,SpecA
Temperate Broadleaf & Mixed Forests,5030,230,0.001116580213420093,0.0,0.00034153321757912636,0.169,SpecA
"Tropical & Subtropical Grasslands, Savannas & Shrublands",5333,156,0.0010615508072078228,0.001,0.0009241646621376276,0.011,SpecA
Deserts & Xeric Shrublands,3510,89,0.0006038089049980044,0.002,0.0005830830777995288,0.125,SpecA
Tropical & Subtropical Dry Broadleaf Forests,2048,50,0.0005746684037148952,0.009,0.0013946902472525835,0.026,SpecA
"Temperate Grasslands, Savannas & Shrublands",2940,128,0.00033194548450410366,0.041,0.0004280784633010626,0.097,SpecA
Tropical & Subtropical Coniferous Forests,1085,28,0.00032259486033581197,0.189,0.00018275280308444053,0.378,SpecA
Mangroves,216,10,0.00029206182807683945,0.415,-0.0001317154965363443,0.535,SpecA
Boreal Forests/Taiga,2423,140,-0.0001755482517182827,0.701,0.0016893312567844987,0.0,SpecA
Flooded Grasslands & Savannas,538,23,-0.00033413106575608253,0.643,-0.00028772864607162774,0.637,SpecA
Temperate Conifer Forests,3144,121,-0.0003692377358675003,0.83,-0.0005059888353571296,0.867,SpecA
Tundra,1623,73,-0.0003984803333878517,0.775,0.0012623198563233018,0.007,SpecA
Tundra,1623,261,0.0006004665046930313,0.02,0.0007383587653748691,0.001,Semi
Montane Grasslands & Shrublands,1402,250,0.0005974007654003799,0.0,0.0013111921725794673,0.0,Semi
"Mediterranean Forests, Woodlands & Scrub",1789,333,0.0005846724379807711,0.0,-0.00015701532538514584,0.73,Semi
Tropical & Subtropical Moist Broadleaf Forests,12376,506,0.000565673690289259,0.0,0.0007435784209519625,0.002,Semi
Temperate Broadleaf & Mixed Forests,5030,669,0.0005000106757506728,0.001,0.00013673478679265827,0.303,Semi
Deserts & Xeric Shrublands,3510,530,0.00046820403076708317,0.0,0.0006221294752322137,0.012,Semi
Tropical & Subtropical Dry Broadleaf Forests,2048,215,0.0004588528536260128,0.0,0.00030040935962460935,0.137,Semi
Boreal Forests/Taiga,2423,437,0.0004236055538058281,0.021,0.0009330316097475588,0.0,Semi
"Temperate Grasslands, Savannas & Shrublands",2940,515,0.0002509575570002198,0.005,0.0004202706622891128,0.016,Semi
"Tropical & Subtropical Grasslands, Savannas & Shrublands",5333,265,0.00023563788272440434,0.12,0.000904480111785233,0.0,Semi
Tropical & Subtropical Coniferous Forests,1085,121,0.0001273917587241158,0.213,-0.0002843202673830092,0.903,Semi
Temperate Conifer Forests,3144,470,-0.0001970408484339714,0.838,0.00021794051281176507,0.218,Semi
Flooded Grasslands & Savannas,538,103,-0.0002468540333211422,0.732,0.000319095968734473,0.186,Semi
Mangroves,216,38,-0.0006757222581654787,0.881,-4.9677095375955105e-05,0.518,Semi
Tropical & Subtropical Moist Broadleaf Forests,12376,647,0.0007455712184309959,0.001,0.0010902390349656343,0.011,Universal
"Tropical & Subtropical Grasslands, Savannas & Shrublands",5333,534,0.0005228125955909491,0.013,0.00048337565385736525,0.051,Universal
Mangroves,216,148,0.000398378586396575,0.078,0.000340639497153461,0.06,Universal
Deserts & Xeric Shrublands,3510,668,0.0002467184094712138,0.137,-0.0003170320705976337,0.738,Universal
Tropical & Subtropical Dry Broadleaf Forests,2048,485,0.00020048441365361214,0.034,0.00016374826373066753,0.28,Universal
"Mediterranean Forests, Woodlands & Scrub",1789,552,0.00014596537221223116,0.17,-0.0004344010667409748,0.916,Universal
Montane Grasslands & Shrublands,1402,517,0.0001009425541269593,0.221,0.0008372560259886086,0.001,Universal
Temperate Broadleaf & Mixed Forests,5030,686,1.485960092395544e-05,0.511,-0.000275742873782292,0.645,Universal
Flooded Grasslands & Savannas,538,373,-1.0545365512371063e-05,0.499,7.651105988770723e-05,0.384,Universal
Tropical & Subtropical Coniferous Forests,1085,317,-5.8429424825590104e-05,0.71,8.368702401639894e-05,0.331,Universal
"Temperate Grasslands, Savannas & Shrublands",2940,641,-7.433292921632528e-05,0.634,0.0001386107032885775,0.35,Universal
Temperate Conifer Forests,3144,622,-0.00037529971450567245,0.887,-0.0008560673450119793,0.987,Universal
Tundra,1623,500,-0.00043386034667491913,0.951,-5.180546941119246e-05,0.606,Universal
Boreal Forests/Taiga,2423,621,-0.00073957908898592,0.984,0.00043466463102959096,0.056,Universal
