biome,delta_strat_observed,null_mean,null_std,n_null_valid,p_swap_null
Montane Grasslands & Shrublands,0.0010765275219455361,9.410244265595225e-05,0.00020288273973849205,1000,0.0
Tropical & Subtropical Moist Broadleaf Forests,0.000929456960875541,-0.00016444444528337953,0.00021433923955824663,1000,0.0
"Tropical & Subtropical Grasslands, Savannas & Shrublands",0.0007573254406452179,0.00044660775548254606,0.00015000228566217492,1000,0.019
Boreal Forests/Taiga,0.0006459727301262319,7.665722287430299e-05,0.00015045279255130716,1000,0.0
Deserts & Xeric Shrublands,0.0006340246764011681,0.00022465682827717615,0.00020591188596068467,1000,0.018
Tropical & Subtropical Dry Broadleaf Forests,0.00043965288205072284,0.00020091536476797954,0.00022034951694889022,1000,0.13
Tundra,0.0003567519597709179,0.00030625675180931465,0.00017078239324724298,1000,0.387
"Temperate Grasslands, Savannas & Shrublands",0.0003251070447731763,1.9008418094017542e-05,0.00015350319977057116,1000,0.022
Flooded Grasslands & Savannas,0.00029319486930035055,0.00011014529211888657,0.0001422985702470171,1000,0.104
Mangroves,0.00023058569058775902,0.0005527872006059624,0.00010782398740607383,1000,0.997
Temperate Broadleaf & Mixed Forests,0.00019690308545250446,2.320497781768438e-05,0.00017507229624034412,1000,0.156
Tropical & Subtropical Coniferous Forests,1.582646837050561e-05,-0.00013614886378593384,0.00011043546882675445,1000,0.092
"Mediterranean Forests, Woodlands & Scrub",-8.519399125361815e-05,8.34290461327214e-05,0.00018925552855150382,1000,0.811
Temperate Conifer Forests,-0.00013518820924218744,-3.84773671623293e-05,0.00015600892206860044,1000,0.731
